,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24
D1,0.0,2508.2,1053.9,691.9,1741.4,1355.2,1440.3,877.0,381.9,2342.4,1139.1,1998.8,1654.8,805.3,726.0,1617.9,1447.3,1128.6,1188.8,1588.2,1967.9,2154.1,2062.7,266.3,1299.9,763.0,1608.3,2253.8,1731.3,1274.9,875.5,467.4,1016.5,1356.7,854.7,2015.4
D2,2502.5,0.0,2537.1,2135.8,1304.9,1508.3,1256.4,1855.4,2297.0,270.3,1643.0,853.1,1106.7,1897.9,2188.0,1069.8,1616.3,1831.7,2188.9,1668.9,1132.4,519.2,1076.1,2493.6,1594.5,2145.4,965.1,354.4,1365.3,1737.2,2056.2,2350.6,2437.7,1251.6,2237.1,848.7
D3,1188.2,3179.2,0.0,1329.7,2603.8,2184.6,2205.5,1763.8,1495.8,3013.4,1913.7,2669.8,2328.2,1510.0,1685.5,2292.9,2407.4,2032.7,1612.3,2548.3,2805.1,2825.1,2920.3,1380.2,2088.1,1712.3,2323.0,2924.8,2519.5,2209.8,1372.2,1581.3,1159.6,2045.0,1804.0,2686.4
D4,564.0,2141.6,794.3,0.0,1513.2,1094.0,1167.9,748.1,502.8,1975.8,898.0,1632.2,1290.6,419.4,669.8,1255.3,1391.7,1017.0,722.3,1532.6,1721.0,1787.5,1836.2,555.1,997.5,696.6,1285.4,1887.2,1428.9,1194.1,409.0,689.0,791.8,1007.4,788.3,1648.8
D5,1565.2,1302.0,1784.6,1198.5,0.0,395.1,544.3,918.1,1359.7,1125.7,785.9,598.2,662.3,960.6,1250.7,644.3,578.3,839.8,1508.4,727.5,393.5,1082.9,620.7,1556.3,817.5,1208.1,674.4,1035.8,412.5,651.7,1303.7,1413.3,1757.2,682.3,1299.8,561.4
D6,1220.6,1505.2,1479.6,853.9,657.9,0.0,458.2,607.8,1015.1,1339.4,425.9,1002.7,654.2,745.4,929.6,618.9,631.6,494.3,1275.1,772.5,884.4,1151.1,1043.3,1211.7,602.3,887.0,649.0,1250.8,636.0,388.0,961.8,1092.2,1477.1,596.2,978.7,965.9
D7,1488.1,1205.0,1588.4,1121.4,723.5,493.9,0.0,841.0,1282.6,1039.2,683.2,695.6,354.0,883.5,1173.6,318.7,816.2,817.3,1240.2,965.4,830.9,850.9,946.1,1479.2,634.7,1131.0,334.3,950.6,638.4,722.8,1107.5,1336.2,1489.0,353.1,1222.7,712.2
D8,991.5,1813.5,1250.5,624.8,1111.4,645.9,741.2,0.0,786.0,1647.7,302.9,1304.4,955.7,599.0,700.5,918.8,928.7,479.5,1046.0,1069.6,1337.9,1459.4,1453.4,982.6,612.1,657.9,909.2,1559.1,1046.1,656.6,732.7,863.1,1248.0,657.6,749.6,1321.0
D9,337.6,2300.8,1221.0,559.4,1534.0,1147.8,1232.9,669.6,0.0,2135.0,931.7,1791.4,1447.4,675.9,518.6,1410.5,1239.9,921.2,1016.5,1380.8,1760.5,1946.7,1855.3,305.2,1092.5,555.6,1400.9,2046.4,1523.9,1067.5,703.2,335.6,1218.5,1149.3,647.3,1808.0
D10,2324.0,261.8,2358.6,1957.3,1188.6,1329.8,1077.9,1676.9,2118.5,0.0,1464.5,640.6,928.2,1719.4,2009.5,891.3,1544.1,1653.2,2010.4,1596.7,1060.2,358.8,1003.9,2315.1,1416.0,1966.9,786.6,141.9,1195.1,1558.7,1877.7,2172.1,2259.2,1073.1,2058.6,673.6
D11,941.3,1835.2,1200.3,574.6,1053.8,588.3,762.9,344.5,735.8,1669.4,0.0,1326.1,977.4,548.8,650.3,940.5,1129.1,525.0,995.8,1270.0,1280.3,1481.1,1395.8,932.4,695.1,607.7,930.9,1580.8,988.5,702.1,682.5,812.9,1197.8,679.3,699.4,1318.4
D12,1846.0,885.4,2045.4,1479.3,608.0,871.0,776.1,1198.9,1640.5,703.1,1066.7,0.0,523.8,1241.4,1531.5,539.4,1054.2,1203.7,1697.2,1171.5,588.0,740.9,703.2,1837.1,1098.3,1488.9,612.9,595.2,614.5,1127.6,1564.5,1694.1,1946.0,810.1,1580.6,152.9
C1,1667.9,1003.9,1691.1,1301.2,657.3,673.7,421.8,1020.8,1462.4,838.1,879.6,502.0,0.0,1063.3,1353.4,158.6,996.0,997.1,1342.9,1145.2,637.3,649.8,752.5,1659.0,831.1,1310.8,188.4,749.5,547.2,902.6,1210.2,1516.0,1591.7,455.8,1402.5,518.6
C2,822.6,1911.1,1081.6,455.9,1122.3,703.1,847.1,545.9,617.1,1745.3,536.2,1401.7,1060.1,0.0,508.1,1024.7,1240.6,815.2,825.2,1389.8,1330.1,1557.0,1445.3,813.7,606.6,465.5,1015.1,1656.7,1038.0,992.3,563.8,670.7,1074.0,763.5,557.2,1367.9
C3,802.7,2062.9,1165.8,540.1,1338.1,951.1,1037.0,456.4,566.0,1897.1,695.2,1553.5,1211.9,464.2,0.0,1176.6,1044.0,725.3,961.3,1184.9,1564.6,1708.8,1659.4,580.9,854.6,216.6,1205.0,1808.5,1286.0,871.6,648.0,421.8,1163.3,928.7,308.3,1570.1
C4,1569.3,1016.2,1603.9,1202.6,697.3,575.1,323.2,922.2,1363.8,850.4,781.0,542.0,129.9,964.7,1254.8,0.0,897.4,898.5,1255.7,1046.6,677.3,662.1,792.5,1560.4,732.5,1212.2,160.0,761.8,551.8,804.0,1123.0,1417.4,1504.5,368.6,1303.9,558.6
C5,1832.4,1660.9,2097.6,1511.5,771.7,748.6,857.3,998.1,1553.9,1523.2,1098.9,1229.6,992.6,1273.6,1511.5,957.3,0.0,924.8,1821.4,254.1,788.7,1489.5,851.7,1793.5,1130.5,1495.0,987.4,1475.9,874.0,914.6,1616.7,1700.2,2070.2,995.3,1586.7,1192.8
C6,1279.1,1742.6,1538.1,912.4,838.0,448.9,695.6,480.0,1035.8,1576.8,477.3,1239.1,891.6,839.1,988.1,856.3,811.7,0.0,1333.6,952.6,1064.5,1388.5,1279.7,1270.2,696.0,945.5,886.4,1488.2,872.4,368.1,1020.3,1150.7,1535.6,703.8,1037.2,1202.3
C7,1129.7,2272.1,1037.6,708.9,1782.9,1444.7,1298.4,1200.0,1041.9,2106.3,1277.8,1762.7,1421.1,770.1,1139.3,1385.8,1861.2,1468.9,0.0,2002.1,1898.0,1918.0,2013.2,1174.1,1218.8,1148.5,1415.9,2017.7,1739.2,1646.0,406.9,1308.0,738.8,1137.9,1240.2,1779.3
C8,1996.6,1695.7,2224.1,1638.0,898.2,875.1,983.8,1162.3,1718.1,1558.0,1225.4,1264.4,1119.1,1400.1,1675.7,1083.8,254.5,1089.0,1947.9,0.0,823.5,1616.0,886.5,1957.7,1257.0,1647.6,1113.9,1510.7,1000.5,1078.8,1743.2,1852.8,2196.7,1121.8,1739.3,1227.6
C9,1833.8,1215.8,2053.2,1467.1,400.7,663.7,812.9,1186.7,1628.3,1078.1,1054.5,738.7,802.8,1229.2,1519.3,818.4,683.0,1108.4,1777.0,735.6,0.0,1223.4,525.5,1824.9,1086.1,1476.7,891.9,1030.8,697.6,920.3,1572.3,1681.9,2025.8,950.9,1568.4,701.9
