,D1,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24
D1,0.0,2438.1,1690.4,1552.8,2402.8,2270.2,1951.5,2187.5,2411.1,2790.8,2935.0,2885.6,1677.3,2080.8,1289.1,2431.2,3034.7,2512.2,2097.8,1874.2,1518.2,2389.5,2154.9,1386.3,2796.3
C1,2494.5,0.0,1063.3,1353.4,158.6,996.0,997.1,1342.9,1145.2,637.3,649.8,752.5,1659.0,831.1,1310.8,188.4,749.5,547.2,902.6,1210.2,1516.0,1591.7,455.8,1402.5,518.6
C2,1649.2,1060.1,0.0,508.1,1024.7,1240.6,815.2,825.2,1389.8,1330.1,1557.0,1445.3,813.7,606.6,465.5,1015.1,1656.7,1038.0,992.3,563.8,670.7,1074.0,763.5,557.2,1367.9
C3,1400.3,1211.9,464.2,0.0,1176.6,1044.0,725.3,961.3,1184.9,1564.6,1708.8,1659.4,580.9,854.6,216.6,1205.0,1808.5,1286.0,871.6,648.0,421.8,1163.3,928.7,308.3,1570.1
C4,2395.9,129.9,964.7,1254.8,0.0,897.4,898.5,1255.7,1046.6,677.3,662.1,792.5,1560.4,732.5,1212.2,160.0,761.8,551.8,804.0,1123.0,1417.4,1504.5,368.6,1303.9,558.6
C5,2678.7,992.6,1273.6,1511.5,957.3,0.0,924.8,1821.4,254.1,788.7,1489.5,851.7,1793.5,1130.5,1495.0,987.4,1475.9,874.0,914.6,1616.7,1700.2,2070.2,995.3,1586.7,1192.8
C6,2129.2,891.6,839.1,988.1,856.3,811.7,0.0,1333.6,952.6,1064.5,1388.5,1279.7,1270.2,696.0,945.5,886.4,1488.2,872.4,368.1,1020.3,1150.7,1535.6,703.8,1037.2,1202.3
C7,2332.2,1421.1,770.1,1139.3,1385.8,1861.2,1468.9,0.0,2002.1,1898.0,1918.0,2013.2,1174.1,1218.8,1148.5,1415.9,2017.7,1739.2,1646.0,406.9,1308.0,738.8,1137.9,1240.2,1779.3
C8,2831.3,1119.1,1400.1,1675.7,1083.8,254.5,1089.0,1947.9,0.0,823.5,1616.0,886.5,1957.7,1257.0,1647.6,1113.9,1510.7,1000.5,1078.8,1743.2,1852.8,2196.7,1121.8,1739.3,1227.6
C9,2660.4,802.8,1229.2,1519.3,818.4,683.0,1108.4,1777.0,735.6,0.0,1223.4,525.5,1824.9,1086.1,1476.7,891.9,1030.8,697.6,920.3,1572.3,1681.9,2025.8,950.9,1568.4,701.9
