,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30
D1,0.0,33061.6,10161.9,6452.4,21415.7,16924.1,20126.9,11361.2,4329.9,31289.9,13659.0,26223.4,11138.3,7135.4,12247.1,3679.6,24149.4,30353.9,29751.9,23770.5,12190.6,10850.4,12200.0,25305.5,23852.0,16691.5,16209.2,16754.8,9420.9,14137.4,20213.3,12772.8,7637.6,7161.0,24932.0,19361.3,21053.4,18341.5,4213.7,32567.9,24748.0,6227.7
D2,32946.9,0.0,34181.5,29493.8,13916.8,18526.9,14575.1,23069.6,31754.7,2571.4,19234.4,7378.4,21875.1,27857.9,30985.7,32489.4,9755.1,9840.5,11326.0,10278.4,30929.2,22593.8,25962.2,8247.7,15621.6,22331.4,21675.8,23220.1,29935.7,21334.7,13627.1,22449.9,31382.3,30725.0,11051.0,14534.6,13885.4,15183.0,32831.8,6229.0,16948.1,27238.3
D3,14330.7,38912.7,0.0,15347.3,32563.6,28919.2,26664.3,23524.9,18517.4,37141.0,24935.7,32074.5,24534.4,20531.5,25792.4,11195.0,29418.4,35078.9,38445.8,31296.5,25735.9,24246.4,18533.4,31156.6,36646.5,30087.6,29605.3,30150.9,22816.9,24801.2,26484.0,23312.3,12442.5,11966.0,30783.0,25212.4,33834.3,24995.4,11537.4,38419.0,37952.1,12712.7
D4,5155.7,26857.8,10570.4,0.0,17208.3,13564.0,14609.4,8919.6,5377.5,25086.0,10330.4,20019.6,9929.1,5926.2,11187.1,5546.1,17363.5,24811.1,24209.2,19241.5,11130.6,9641.1,7661.5,19101.6,22409.9,15482.3,15000.0,15545.6,8211.7,10195.9,14429.1,8157.3,8288.2,7811.7,18728.1,13157.4,18479.0,12940.5,5546.6,26364.1,23715.5,2125.9
D5,22630.3,11821.7,27774.7,19177.1,0.0,5982.4,7691.1,12753.0,21438.1,10372.3,10478.6,5401.5,11415.0,17541.3,20669.1,23581.3,7746.9,8110.7,7508.7,2634.5,20612.6,12403.7,20948.7,12647.4,3312.1,10103.9,9448.3,10992.6,19619.1,8950.3,8591.7,12133.2,26368.8,25711.5,2653.5,10480.3,447.4,9142.4,23581.8,14552.5,7015.0,21139.4
D6,14573.8,18889.1,21650.6,11120.6,6769.1,0.0,5534.1,5776.1,13381.6,17117.4,4480.0,10623.9,6506.8,9620.6,12748.4,15524.8,9394.9,14440.3,13838.4,7857.0,12691.9,7495.4,15425.0,11133.0,9048.4,5195.7,4540.1,6084.4,11698.4,3290.1,6434.7,6913.3,19368.4,18891.8,8481.9,7754.3,6406.8,6123.1,15525.4,18395.4,13344.7,13083.0
D7,20289.0,13956.7,22540.1,16835.9,9361.0,5869.0,0.0,10411.7,19096.8,12185.0,7018.0,7118.5,9658.6,15200.0,18327.8,20848.0,4462.4,10123.0,13489.8,6340.5,18271.3,10377.3,14320.8,6200.6,11690.5,9673.5,9017.9,10562.2,17277.8,8676.8,475.5,9792.0,19740.9,19083.6,5827.0,4296.5,8998.7,3268.9,21190.4,13463.0,12996.1,15596.9
D8,12924.0,22416.3,20000.7,9470.8,12829.8,5810.6,8899.5,0.0,11731.8,20644.5,2454.5,15607.5,1938.4,5092.1,11098.5,13875.0,12922.0,18275.1,17673.2,14829.4,11042.0,1650.5,13775.2,14660.1,15109.0,7777.8,7295.4,7841.1,4322.8,2592.1,8986.0,4398.8,17718.5,17242.0,14316.0,8745.3,12467.5,7114.1,13875.5,21922.5,17179.5,11433.2
D9,3972.4,30020.1,18388.6,7324.1,18374.1,13882.6,17085.3,8319.6,0.0,28248.4,10617.5,23181.9,8096.8,4093.9,9205.5,7478.0,21107.8,27312.3,26710.4,20729.0,9149.0,7808.8,12163.1,22264.0,20810.5,13650.0,13167.6,13713.3,6379.3,11095.9,17171.8,9731.3,16106.4,15629.8,21890.4,16319.7,18011.9,15299.9,8012.1,29526.4,21706.5,9286.5
D10,30512.8,2477.8,31747.3,27059.7,11228.3,16092.8,12141.0,20635.5,29320.6,0.0,16800.3,5086.3,19441.0,25423.8,28551.6,30055.3,7321.0,6066.8,7552.3,7986.2,28495.1,20159.6,23528.0,5813.5,11847.8,19897.3,19241.7,20786.0,27501.6,18900.6,11193.0,20015.8,28948.1,28290.8,8758.8,12100.5,11196.9,12748.9,30397.6,4544.2,13174.3,24804.2
