,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,C1,C2,C3,C4,C5,C6,C7,C8,C9
D1,0.0,33061.6,10161.9,6452.4,21415.7,16924.1,20126.9,11361.2,4329.9,31289.9,13659.0,26223.4,22414.8,25896.1,4225.5,22338.8,12064.8,17959.5,19940.9,7626.6,18553.2
D2,32946.9,0.0,34181.5,29493.8,13916.8,18526.9,14575.1,23069.6,31754.7,2571.4,19234.4,7378.4,20179.3,15095.1,32685.2,21842.4,30803.4,23599.4,21097.6,29224.8,16821.9
D3,14330.7,38912.7,0.0,15347.3,32563.6,28919.2,26664.3,23524.9,18517.4,37141.0,24935.7,32074.5,35810.9,34590.0,18413.0,35734.8,25610.1,31355.6,23401.9,16138.0,28947.3
D4,5155.7,26857.8,10570.4,0.0,17208.3,13564.0,14609.4,8919.6,5377.5,25086.0,10330.4,20019.6,21205.6,20353.4,6308.0,21129.5,11004.8,16750.3,13816.0,3088.0,13592.0
D5,22630.3,11821.7,27774.7,19177.1,0.0,5982.4,7691.1,12753.0,21438.1,10372.3,10478.6,5401.5,10246.2,2717.6,22368.6,11485.3,20486.7,11371.9,21111.4,18908.1,8650.5
D6,14573.8,18889.1,21650.6,11120.6,6769.1,0.0,5534.1,5776.1,13381.6,17117.4,4480.0,10623.9,10765.6,9982.6,14312.1,10689.6,12566.0,6463.7,15891.5,10851.6,4774.3
D7,20289.0,13956.7,22540.1,16835.9,9361.0,5869.0,0.0,10411.7,19096.8,12185.0,7018.0,7118.5,14343.5,9634.0,20027.3,14267.4,18145.5,10941.5,12566.8,16566.9,4164.0
D8,12924.0,22416.3,20000.7,9470.8,12829.8,5810.6,8899.5,0.0,11731.8,20644.5,2454.5,15607.5,13501.1,13817.4,12662.3,13425.0,10916.2,9045.7,14823.0,9201.8,6397.8
D9,3972.4,30020.1,18388.6,7324.1,18374.1,13882.6,17085.3,8319.6,0.0,28248.4,10617.5,23181.9,19373.3,22854.6,1184.0,19297.2,9023.2,14918.0,16899.4,7589.6,15511.7
D10,30512.8,2477.8,31747.3,27059.7,11228.3,16092.8,12141.0,20635.5,29320.6,0.0,16800.3,5086.3,16405.5,11321.4,30251.1,18068.7,28369.3,21165.3,18663.4,26790.6,14387.8
D11,12442.6,22229.5,19519.4,8989.4,12154.5,5135.4,8712.7,2469.8,11250.4,20457.7,0.0,15420.7,15196.6,13142.2,12180.9,15120.5,10434.8,9779.8,14341.7,8720.4,5722.6
D12,25129.9,7163.1,27554.8,21676.7,5687.3,10865.1,7959.3,15252.6,23937.7,5848.2,12978.2,0.0,12417.6,5824.3,24868.2,14080.7,22986.4,16254.6,17581.6,21407.7,12265.8
C1,28749.1,20135.3,33893.5,25296.0,8477.0,12372.4,13810.0,13923.1,20377.1,16525.7,16597.4,12233.4,0.0,8088.7,21307.6,3040.5,26605.6,13859.2,27230.2,25026.9,14769.4
C2,24519.4,15182.0,29663.8,21066.2,2970.1,8147.9,9856.6,14642.1,23327.2,11572.4,12367.7,5586.0,7954.3,0.0,24257.7,9617.5,22375.9,13537.4,23000.5,20797.2,11655.3
C3,4229.6,29138.6,17507.0,6442.6,17492.6,13001.0,16203.8,7438.1,1231.9,27366.8,9735.9,22300.4,18491.8,21973.1,0.0,18415.7,8141.7,14036.4,16017.8,6708.1,14630.1
C4,28371.7,21476.4,33516.1,24918.5,9097.6,11995.0,13432.6,13545.6,19999.7,17866.8,16220.0,13574.6,2467.1,8321.2,20930.2,0.0,26228.2,13481.8,26852.8,24649.5,14391.9
C5,10559.5,29780.8,22464.2,11934.3,18093.8,15825.9,16805.1,8128.5,8609.8,28009.1,10425.9,22942.6,19093.0,22615.3,8349.1,19017.0,0.0,14637.7,16660.1,11665.3,15854.0
C6,18008.1,22603.4,27812.2,17282.3,9822.8,5331.2,9248.4,8300.9,14755.0,20831.7,9644.5,14342.0,11021.6,12047.6,15685.5,10945.6,15554.6,0.0,22155.7,17013.3,10207.8
C7,15478.9,21090.8,18552.5,11648.9,20013.7,17056.4,12117.9,14282.2,17693.4,19319.1,14897.7,17528.2,24996.2,20043.6,18623.9,24920.1,16742.1,22321.9,0.0,10517.4,12901.5
C8,12044.8,25433.3,11198.7,4884.0,16521.9,12877.5,13184.9,8960.6,9457.3,23661.6,10718.8,18595.1,23407.5,19666.9,10387.8,23331.4,11045.8,18952.1,10102.8,0.0,12905.6
C9,17345.3,15884.1,20715.1,13892.1,8808.2,5316.2,2367.3,7061.4,16153.1,14112.4,4531.4,9084.7,13790.7,11413.8,17083.6,13714.6,15201.7,10388.7,10995.7,13623.1,0.0
