,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,C1,C2,C3,C4,C5,C6,C7,C8,C9
D1,0.0,2508.2,1053.9,691.9,1741.4,1355.2,1440.3,877.0,381.9,2342.4,1139.1,1998.8,1700.0,1919.3,353.2,1726.5,855.2,1340.0,1550.0,725.8,1357.1
D2,2502.5,0.0,2537.1,2135.8,1304.9,1508.3,1256.4,1855.4,2297.0,270.3,1643.0,853.1,1373.1,1082.3,2377.2,1566.7,2237.6,2010.6,2267.6,2094.0,1449.5
D3,1188.2,3179.2,0.0,1329.7,2603.8,2184.6,2205.5,1763.8,1495.8,3013.4,1913.7,2669.8,2660.1,2701.0,1467.1,2686.6,1804.5,2300.1,2197.4,1360.5,2158.8
D4,564.0,2141.6,794.3,0.0,1513.2,1094.0,1167.9,748.1,502.8,1975.8,898.0,1632.2,1644.4,1616.9,583.0,1670.9,788.8,1284.4,1271.4,259.3,1068.2
D5,1565.2,1302.0,1784.6,1198.5,0.0,395.1,544.3,918.1,1359.7,1125.7,785.9,598.2,764.5,375.9,1439.9,865.8,1300.3,925.1,1636.1,1156.7,658.6
D6,1220.6,1505.2,1479.6,853.9,657.9,0.0,458.2,607.8,1015.1,1339.4,425.9,1002.7,884.3,824.0,1095.3,910.8,979.2,661.4,1420.9,812.1,446.6
D7,1488.1,1205.0,1588.4,1121.4,723.5,493.9,0.0,841.0,1282.6,1039.2,683.2,695.6,1077.2,726.8,1362.8,1103.7,1223.2,996.2,1359.4,1079.6,435.1
D8,991.5,1813.5,1250.5,624.8,1111.4,645.9,741.2,0.0,786.0,1647.7,302.9,1304.4,1181.4,1234.1,866.2,1207.9,750.1,821.4,1281.1,583.0,637.8
D9,337.6,2300.8,1221.0,559.4,1534.0,1147.8,1232.9,669.6,0.0,2135.0,931.7,1791.4,1492.6,1711.9,145.8,1519.1,647.8,1132.6,1342.6,553.5,1149.7
D10,2324.0,261.8,2358.6,1957.3,1188.6,1329.8,1077.9,1676.9,2118.5,0.0,1464.5,640.6,1300.9,1010.1,2198.7,1494.5,2059.1,1832.1,2089.1,1915.5,1271.0
D11,941.3,1835.2,1200.3,574.6,1053.8,588.3,762.9,344.5,735.8,1669.4,0.0,1326.1,1381.8,1176.5,816.0,1408.3,699.9,1005.2,1230.9,532.8,580.2
D12,1846.0,885.4,2045.4,1479.3,608.0,871.0,776.1,1198.9,1640.5,703.1,1066.7,0.0,847.0,483.9,1720.7,1040.6,1581.1,1401.0,1816.4,1437.5,952.1
C1,2007.5,1380.7,2226.9,1640.8,785.9,877.9,986.6,1234.8,1790.6,1243.0,1228.2,918.3,0.0,553.0,1870.8,284.6,1742.6,1270.5,2078.4,1599.0,1100.9
C2,1757.0,1101.7,1976.4,1390.3,361.0,624.0,773.2,1109.9,1551.5,964.0,977.7,566.6,531.6,0.0,1631.7,725.2,1492.1,1154.0,1827.9,1348.5,863.1
C3,379.2,2249.4,1169.6,508.0,1482.6,1096.4,1181.5,618.2,181.3,2083.6,880.3,1740.0,1441.2,1660.5,0.0,1467.7,596.4,1081.2,1291.2,502.1,1098.3
C4,2052.4,1541.9,2271.8,1685.7,841.6,922.8,1031.5,1279.7,1835.5,1404.2,1273.1,1079.5,240.8,678.5,1915.7,0.0,1787.5,1315.4,2123.3,1643.9,1145.8
C5,817.2,2303.0,1405.9,780.2,1578.2,1191.2,1277.1,700.9,685.1,2137.2,939.7,1793.6,1536.8,1714.1,651.4,1563.3,0.0,1176.8,1344.8,738.4,1165.4
C6,1608.3,1878.3,1934.5,1308.8,970.8,584.6,831.3,774.0,1329.8,1712.5,982.0,1374.8,952.1,1179.7,1410.0,978.6,1363.1,0.0,1929.8,1267.0,945.6
C7,1559.7,2220.1,1473.9,1137.6,1876.0,1563.6,1391.5,1406.4,1477.6,2054.3,1396.7,1855.8,2229.7,1887.0,1557.8,2256.2,1418.2,2010.4,0.0,1034.5,1445.1
C8,831.0,2102.6,738.9,436.5,1495.3,1076.1,1128.9,885.6,769.5,1936.8,909.2,1593.2,1841.5,1599.0,849.7,1868.0,926.3,1481.5,1152.1,0.0,1050.3
C9,1340.8,1362.7,1454.3,974.1,699.4,469.8,290.4,628.5,1135.3,1196.9,412.9,858.9,1053.1,882.0,1215.5,1079.6,1075.9,972.1,1311.5,932.3,0.0
