,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,C1,C2,C3,C4,C5,C6,C7,C8,C9
D1,0.0,33061.6,10161.9,6452.4,21415.7,16924.1,20126.9,11361.2,4329.9,31289.9,13659.0,26223.4,22414.8,9520.6,12064.8,7622.3,22338.8,18618.0,4225.5,10816.3,27171.5
D2,32946.9,0.0,34181.5,29493.8,13916.8,18526.9,14575.1,23069.6,31754.7,2571.4,19234.4,7378.4,20179.3,30363.3,30803.4,29220.5,21842.4,17928.6,32685.2,27192.5,7182.3
D3,14330.7,38912.7,0.0,15347.3,32563.6,28919.2,26664.3,23524.9,18517.4,37141.0,24935.7,32074.5,35810.9,25169.9,25610.1,16138.5,35734.8,30767.1,18413.0,17175.5,33022.6
D4,5155.7,26857.8,10570.4,0.0,17208.3,13564.0,14609.4,8919.6,5377.5,25086.0,10330.4,20019.6,21205.6,10564.6,11004.8,3083.8,21129.5,15411.9,6308.0,6277.8,20967.7
D5,22630.3,11821.7,27774.7,19177.1,0.0,5982.4,7691.1,12753.0,21438.1,10372.3,10478.6,5401.5,10246.2,20046.6,20486.7,18903.8,11485.0,4502.5,22368.6,20349.1,9643.0
D6,14573.8,18889.1,21650.6,11120.6,6769.1,0.0,5534.1,5776.1,13381.6,17117.4,4480.0,10623.9,10765.6,12125.9,12566.0,10847.4,10689.6,3823.7,14312.1,14041.4,12999.0
D7,20289.0,13956.7,22540.1,16835.9,9361.0,5869.0,0.0,10411.7,19096.8,12185.0,7018.0,7118.5,14343.2,17705.4,18145.5,16562.6,14267.1,5126.2,20027.3,15551.1,8066.6
D8,12924.0,22416.3,20000.7,9470.8,12829.8,5810.6,8899.5,0.0,11731.8,20644.5,2454.5,15607.5,13501.1,10476.0,10916.2,9197.5,13425.0,7658.5,12662.3,12391.5,16526.1
D9,3972.4,30020.1,18388.6,7324.1,18374.1,13882.6,17085.3,8319.6,0.0,28248.4,10617.5,23181.9,19373.3,8583.1,9023.2,7585.4,19297.2,15576.4,1184.0,10779.4,24130.0
D10,30512.8,2477.8,31747.3,27059.7,11228.3,16092.8,12141.0,20635.5,29320.6,0.0,16800.3,5086.3,16405.5,27929.1,28369.3,26786.4,18068.7,14146.1,30251.1,24758.3,5497.5
D11,12442.6,22229.5,19519.4,8989.4,12154.5,5135.4,8712.7,2469.8,11250.4,20457.7,0.0,15420.7,15196.6,9994.7,10434.8,8716.2,15120.5,6983.3,12180.9,11910.2,16339.4
D12,25129.9,7163.1,27554.8,21676.7,5687.3,10865.1,7959.3,15252.6,23937.7,5848.2,12978.2,0.0,12417.6,22546.2,22986.4,21403.5,14080.7,8605.0,24868.2,20565.8,6026.3
C1,28749.1,20135.3,33893.5,25296.0,8477.0,12372.4,13810.0,13923.1,20377.1,16525.7,16597.4,12233.4,0.0,26165.4,26605.6,25022.7,3040.5,12224.3,21307.7,26468.0,16475.0
C2,9786.7,27782.1,20465.5,9935.6,16095.2,13827.2,14806.4,6129.8,8254.2,26010.4,8427.3,20944.0,17094.4,0.0,2086.9,9662.3,17018.3,15675.1,7576.3,12856.3,21892.0
C3,10559.5,29780.8,22464.2,11934.3,18093.8,15825.9,16805.1,8128.5,8609.8,28009.1,10425.9,22942.6,19093.0,2097.8,0.0,11661.0,19017.0,17673.8,8349.1,14855.0,23890.7
C4,5739.7,25233.2,12457.7,1473.0,15583.8,11939.4,12984.8,7230.5,6046.4,23461.5,8641.3,18395.0,19996.6,8875.5,9315.7,0.0,19920.5,13787.3,6976.9,4848.5,19343.1
C5,28371.7,21476.4,33516.1,24918.5,9097.6,11995.0,13432.6,13545.6,19999.7,17866.8,16220.0,13574.6,2467.1,25788.0,26228.2,24645.3,0.0,11846.8,20930.2,26090.6,17816.1
C6,17757.5,18730.1,24834.3,14304.3,4416.9,4080.6,5375.1,7335.1,16565.3,16958.3,6039.1,10766.0,9399.2,15309.6,15749.7,14031.1,9323.1,0.0,17495.8,17225.1,12839.9
C7,4229.6,29138.6,17507.0,6442.6,17492.6,13001.0,16203.8,7438.1,1231.9,27366.8,9735.9,22300.4,18491.8,7701.5,8141.7,6703.8,18415.7,14694.9,0.0,9897.8,23248.4
C8,13746.4,27044.2,12900.3,6411.9,22691.5,15897.9,14795.7,12169.3,10985.2,25272.4,13739.2,20206.0,24935.4,13814.4,14254.5,5153.9,24859.3,18456.7,11915.8,0.0,21154.0
C9,26434.7,6980.9,27669.2,22981.5,9588.7,12014.6,8062.8,16557.4,25242.5,5209.1,12722.2,6070.0,16319.0,23851.0,24291.2,22708.3,17982.1,11271.8,26173.0,20680.2,0.0
