,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,C1,C2,C3,C4,C5,C6,C7,C8,C9
D1,0.0,2508.2,1053.9,691.9,1741.4,1355.2,1440.3,877.0,381.9,2342.4,1139.1,1998.8,1700.0,761.6,855.2,761.6,1726.5,1498.0,353.2,927.1,2048.0
D2,2502.5,0.0,2537.1,2135.8,1304.9,1508.3,1256.4,1855.4,2297.0,270.3,1643.0,853.1,1373.1,2161.1,2237.6,2129.8,1566.7,1427.9,2377.2,2088.8,778.6
D3,1188.2,3179.2,0.0,1329.7,2603.8,2184.6,2205.5,1763.8,1495.8,3013.4,1913.7,2669.8,2660.1,1728.0,1804.5,1377.9,2686.6,2313.9,1467.1,1361.5,2719.0
D4,564.0,2141.6,794.3,0.0,1513.2,1094.0,1167.9,748.1,502.8,1975.8,898.0,1632.2,1644.4,712.3,788.8,295.1,1670.9,1223.3,583.0,460.6,1681.4
D5,1565.2,1302.0,1784.6,1198.5,0.0,395.1,544.3,918.1,1359.7,1125.7,785.9,598.2,764.5,1223.8,1300.3,1192.5,865.8,393.7,1439.9,1355.3,982.4
D6,1220.6,1505.2,1479.6,853.9,657.9,0.0,458.2,607.8,1015.1,1339.4,425.9,1002.7,884.3,902.7,979.2,847.9,910.8,365.1,1095.3,1013.4,1045.0
D7,1488.1,1205.0,1588.4,1121.4,723.5,493.9,0.0,841.0,1282.6,1039.2,683.2,695.6,1077.2,1146.7,1223.2,1115.4,1103.7,427.9,1362.8,1140.1,744.8
D8,991.5,1813.5,1250.5,624.8,1111.4,645.9,741.2,0.0,786.0,1647.7,302.9,1304.4,1181.4,673.6,750.1,618.8,1207.9,775.2,866.2,784.3,1353.3
D9,337.6,2300.8,1221.0,559.4,1534.0,1147.8,1232.9,669.6,0.0,2135.0,931.7,1791.4,1492.6,571.3,647.8,589.3,1519.1,1290.6,145.8,754.8,1840.6
D10,2324.0,261.8,2358.6,1957.3,1188.6,1329.8,1077.9,1676.9,2118.5,0.0,1464.5,640.6,1300.9,1982.6,2059.1,1951.3,1494.5,1257.7,2198.7,1910.3,618.2
D11,941.3,1835.2,1200.3,574.6,1053.8,588.3,762.9,344.5,735.8,1669.4,0.0,1326.1,1381.8,623.4,699.9,568.6,1408.3,717.6,816.0,734.1,1375.0
D12,1846.0,885.4,2045.4,1479.3,608.0,871.0,776.1,1198.9,1640.5,703.1,1066.7,0.0,847.0,1504.6,1581.1,1473.3,1040.6,677.1,1720.7,1597.1,699.7
C1,2007.5,1380.7,2226.9,1640.8,785.9,877.9,986.6,1234.8,1790.6,1243.0,1228.2,918.3,0.0,1666.1,1742.6,1634.8,284.6,838.6,1870.8,1797.6,1302.5
C2,744.7,2098.2,1201.1,575.4,1373.4,986.4,1072.3,496.1,601.3,1932.4,734.9,1588.8,1332.0,0.0,282.0,569.4,1358.5,1115.7,578.9,734.9,1638.0
C3,817.2,2303.0,1405.9,780.2,1578.2,1191.2,1277.1,700.9,685.1,2137.2,939.7,1793.6,1536.8,222.9,0.0,774.2,1563.3,1320.5,651.4,939.7,1842.8
C4,606.7,2013.3,815.6,132.6,1384.9,965.7,1039.6,623.7,465.6,1847.5,773.6,1503.9,1537.6,587.9,664.4,0.0,1564.1,1095.0,545.8,349.4,1553.1
C5,2052.4,1541.9,2271.8,1685.7,841.6,922.8,1031.5,1279.7,1835.5,1404.2,1273.1,1079.5,240.8,1711.0,1787.5,1679.7,0.0,883.5,1915.7,1842.5,1463.7
C6,1399.2,1496.0,1658.2,1032.5,388.5,334.8,449.0,750.8,1193.7,1330.2,568.9,897.2,742.2,1081.3,1157.8,1026.5,768.7,0.0,1273.9,1192.0,1035.8
C7,379.2,2249.4,1169.6,508.0,1482.6,1096.4,1181.5,618.2,181.3,2083.6,880.3,1740.0,1441.2,519.9,596.4,537.9,1467.7,1239.2,0.0,703.4,1789.2
C8,944.9,2116.7,852.8,524.1,1627.5,1289.3,1143.0,1015.2,857.1,1950.9,1122.4,1607.3,1929.1,979.4,1055.9,451.7,1955.6,1331.9,937.3,0.0,1656.5
C9,1945.2,816.3,1979.8,1578.5,1003.0,951.0,699.1,1298.1,1739.7,650.5,1085.7,747.1,1242.0,1603.8,1680.3,1572.5,1435.6,885.0,1819.9,1531.5,0.0
